"est_vacances","date","passages_total","temperature","apparent_temperature","precipitation","wind_speed","wind_gusts","cloud_cover","is_rain","is_hot","is_cold","is_windy","is_grey"
Vacances,2024-10-26,594024,16.7,16.6,0.0,12.2,20.2,100,false,false,false,false,true
Vacances,2024-10-27,390696,15.7,13.7,0.1,22.5,41.0,100,true,false,false,true,true
Vacances,2024-10-28,1045368,15.9,14.5,0.2,17.4,31.7,100,true,false,false,true,true
Vacances,2024-10-29,1145184,14.5,13.8,0.2,16.4,29.9,100,true,false,false,false,true
Vacances,2024-10-30,1070136,14.9,12.8,0.0,18.5,33.8,100,false,false,false,true,true
Vacances,2024-10-31,1039464,14.4,10.9,0.0,21.9,40.7,100,false,false,false,true,true
Vacances,2024-11-01,497832,12.9,9.4,0.0,25.6,45.7,100,false,false,false,true,true
Vacances,2024-11-02,456552,11.9,9.1,0.2,19.2,35.3,100,true,false,false,true,true
Vacances,2024-11-03,397152,10.0,6.8,0.0,12.6,24.8,100,false,false,false,false,true
Hors vacances,2024-11-04,1285440,10.9,10.3,0.0,13.0,22.0,100,false,false,false,false,true
Hors vacances,2024-11-05,1497672,10.4,8.2,0.0,13.5,25.9,100,false,false,false,false,true
Hors vacances,2024-11-06,1336872,6.5,4.9,0.0,7.6,11.5,100,false,false,false,false,true
Hors vacances,2024-11-07,1492320,6.4,4.3,0.0,6.4,14.0,100,false,false,false,false,true
Hors vacances,2024-11-08,1314144,6.7,2.4,0.0,19.4,35.6,100,false,false,false,true,true
Hors vacances,2024-11-09,594696,7.5,3.9,0.0,15.6,29.5,100,false,false,false,false,true
Hors vacances,2024-11-10,496992,3.6,1.2,0.0,11.0,22.7,100,false,false,true,false,true
Hors vacances,2024-11-11,478104,7.7,5.4,0.1,11.2,19.1,100,true,false,false,false,true
Hors vacances,2024-11-12,1458528,4.8,1.8,0.1,11.6,19.8,100,true,false,true,false,true
Hors vacances,2024-11-13,1389120,7.9,5.7,0.1,11.6,26.3,100,true,false,false,false,true
Hors vacances,2024-11-14,1555368,9.4,6.2,0.1,14.5,35.6,100,true,false,false,true,true
Hors vacances,2024-11-15,1354848,9.2,6.4,0.1,14.6,36.0,100,true,false,false,true,true
Hors vacances,2024-11-16,702192,8.1,5.1,0.0,18.2,41.0,100,false,false,false,true,true
Hors vacances,2024-11-17,424296,7.5,3.6,1.1,22.2,46.4,100,true,false,false,true,true
Hors vacances,2024-11-18,1315224,6.1,1.1,0.3,25.5,55.4,100,true,false,false,true,true
Hors vacances,2024-11-19,1176480,9.5,6.5,5.5,24.3,50.8,100,true,false,false,true,true
Hors vacances,2024-11-20,1232688,2.9,-1.4,0.3,18.9,44.3,100,true,false,true,true,true
Hors vacances,2024-11-21,835416,3.1,-1.9,0.3,19.5,44.6,100,true,false,true,true,true
Hors vacances,2024-11-22,1112640,2.8,-1.3,0.1,18.5,42.5,100,true,false,true,true,true
Hors vacances,2024-11-23,483768,4.6,1.0,0.0,18.9,45.4,100,false,false,true,true,true
Hors vacances,2024-11-24,353184,12.0,8.8,2.7,23.2,44.6,100,true,false,false,true,true
Hors vacances,2024-11-25,1108392,14.0,10.9,0.1,19.2,39.2,100,true,false,false,true,true
Hors vacances,2024-11-26,1435104,10.5,8.2,0.4,14.1,32.4,100,true,false,false,true,true
Hors vacances,2024-11-27,909264,8.0,6.1,1.5,23.8,46.4,100,true,false,false,true,true
Hors vacances,2024-11-28,1315080,8.9,4.9,2.3,26.6,56.2,100,true,false,false,true,true
Hors vacances,2024-11-29,1340280,5.9,2.6,0.1,17.2,38.2,100,true,false,false,true,true
Hors vacances,2024-11-30,675912,4.8,2.0,0.0,11.3,23.8,100,false,false,true,false,true
Hors vacances,2024-12-01,542976,3.3,0.3,0.0,13.2,25.9,1,false,false,true,false,false
Hors vacances,2024-12-02,1451400,5.7,2.5,0.0,13.7,26.6,100,false,false,false,false,true
Hors vacances,2024-12-03,1554312,7.3,5.0,0.5,13.3,27.0,100,true,false,false,false,true
Hors vacances,2024-12-04,1387344,4.9,1.9,0.1,10.4,23.4,100,true,false,true,false,true
Hors vacances,2024-12-05,1227624,4.3,0.9,0.1,18.2,38.9,100,true,false,true,true,true
Hors vacances,2024-12-06,1299840,6.8,4.7,2.1,19.6,39.6,100,true,false,false,true,true
Hors vacances,2024-12-07,552216,5.8,3.2,0.6,15.2,32.0,100,true,false,false,true,true
Hors vacances,2024-12-08,331776,4.7,1.9,0.3,14.2,30.6,100,true,false,true,true,true
Hors vacances,2024-12-09,1264056,4.5,1.1,0.6,16.1,34.6,100,true,false,true,true,true
Hors vacances,2024-12-10,1443696,3.8,0.3,0.1,14.8,32.8,100,true,false,true,true,true
Hors vacances,2024-12-11,1295952,3.4,0.9,0.0,8.5,17.6,100,false,false,true,false,true
Hors vacances,2024-12-12,1494048,2.9,0.7,0.0,3.8,7.6,100,false,false,true,false,true
Hors vacances,2024-12-13,1227144,3.2,-0.8,0.0,12.5,30.2,100,false,false,true,true,true
Hors vacances,2024-12-14,618072,3.1,-1.2,0.6,18.6,46.8,100,true,false,true,true,true
Hors vacances,2024-12-15,524304,8.7,4.4,0.8,25.0,51.8,100,true,false,false,true,true
Hors vacances,2024-12-16,1370616,10.7,6.5,0.2,27.4,58.7,100,true,false,false,true,true
Hors vacances,2024-12-17,1482528,9.6,5.8,0.1,24.2,53.6,100,true,false,false,true,true
Hors vacances,2024-12-18,1214856,11.4,7.7,0.4,21.5,45.0,100,true,false,false,true,true
Hors vacances,2024-12-19,1423800,13.1,10.1,1.3,23.7,50.0,100,true,false,false,true,true
Hors vacances,2024-12-20,1246032,6.1,1.1,0.2,22.0,51.8,100,true,false,false,true,true
Vacances,2024-12-21,546672,6.4,2.3,0.4,22.4,47.2,100,true,false,false,true,true
Vacances,2024-12-22,310656,6.8,3.1,0.8,22.9,46.4,100,true,false,false,true,true
Vacances,2024-12-23,707568,5.1,1.0,0.9,18.6,42.5,100,true,false,false,true,true
Vacances,2024-12-24,423360,4.7,1.5,0.0,16.4,34.6,100,false,false,true,true,true
Vacances,2024-12-25,116952,5.0,2.6,0.1,9.6,18.7,100,true,false,false,false,true
Vacances,2024-12-26,416208,6.6,4.9,0.2,6.4,12.6,100,true,false,false,false,true
Vacances,2024-12-27,418152,5.3,3.6,0.0,4.6,11.9,100,false,false,false,false,true
Vacances,2024-12-28,284904,0.1,-2.3,0.0,5.5,13.0,100,false,false,true,false,true
Vacances,2024-12-29,230616,1.8,-2.4,0.0,15.1,32.4,100,false,false,true,true,true
Vacances,2024-12-30,518424,3.5,-0.8,0.0,18.6,40.3,100,false,false,true,true,true
Vacances,2024-12-31,499488,2.8,-0.5,0.0,19.1,40.0,100,false,false,true,true,true
